id	tname	datecollected	latitude	longitude	depth	temperature	salinity	nitrate	oxygen	phosphate	silicate
727785074	Galeus melastomus	17/01/1985	56.2333	-8.3833	155	9.738	35.361	10.914	5.868	0.707	4.143
727785083	Galeus melastomus	20/01/1985	58.0667	-9.0167	182	9.419	35.364	11.673	5.949	0.764	5.292
727851927	Raja montagui	02/12/2007	59.2413	-4.2832	100	9.02	35.216	9.449	6.1	0.691	4.053
727851958	Raja montagui	02/12/2007	59.2413	-4.2832	100	9.02	35.216	9.449	6.1	0.691	4.053
727852645	Raja montagui	02/12/1992	54.5333	-9.6667	95						
727853623	Scyliorhinus canicula	08/03/1992	56.25	-8.3833	147	9.738	35.361	10.914	5.868	0.707	4.143
727853857	Scyliorhinus canicula	03/12/1992	56.2167	-9.1	177	9.786	35.378	12.039	5.898	0.75	4.469
727853761	Scyliorhinus canicula	01/12/1992	54.309	-10.3293	120	10.116	35.395	10.567	5.918	0.727	3.4
727853769	Scyliorhinus canicula	01/12/1992	54.309	-10.3293	120	10.116	35.395	10.567	5.918	0.727	3.4
727853866	Scyliorhinus canicula	03/12/1992	56.2167	-9.1	177	9.786	35.378	12.039	5.898	0.75	4.469
727854377	Squalus acanthias	25/11/1992	52.7333	-10.7	122	9.873	35.399	8.089	6.006	0.673	3.006
727790051	Scyliorhinus canicula	15/01/1985	58.1333	-5.7833	95	9.5	35.177	9.112	5.993	0.651	3.645
727790037	Scyliorhinus canicula	15/01/1985	58.2667	-6.0167	110						
727790157	Scyliorhinus canicula	18/01/1985	56.9833	-9.05	134	9.877	35.364	10.643	5.907	0.709	4.533
727790207	Scyliorhinus canicula	19/01/1985	57.6167	-8.5	154	9.75	35.39	10.833	5.939	0.697	4.848
727790916	Squalus acanthias	17/01/1985	56.2333	-8.3833	155	9.738	35.361	10.914	5.868	0.707	4.143
727861164	Scyliorhinus canicula	20/11/2007	55.4643	-9.2737	135	10.058	35.382	10.273	5.908	0.697	4.322
727861484	Scyliorhinus canicula	22/03/2007	55.1788	-10.0548	385	9.693	35.404	12.772	5.86	0.836	5.565
727861654	Scyliorhinus canicula	22/11/2007	54.4668	-8.807	60						
727861634	Scyliorhinus canicula	22/11/2007	54.4817	-9.487	80						
727861641	Scyliorhinus canicula	22/11/2007	54.4817	-9.487	80						
727796877	Scyliorhinus canicula	07/03/1988	55.8167	-7.6833	120						
727796945	Scyliorhinus canicula	09/03/1988	57.2167	-8.4667	118	9.818	35.372	10.695	5.846	0.706	4.701
727867585	Scyliorhinus canicula	26/11/2007	55.8243	-8.3	140						
727868263	Scyliorhinus canicula	29/11/2007	58.772	-6.1445	120						
727868430	Scyliorhinus canicula	02/12/2007	59.2505	-4.8597	120	8.875	35.279	11.318	6.101	0.776	4.871
727869967	Scyliorhinus canicula	09/03/1993	55.45	-9.2167	140	10.09	35.412	10.361	5.922	0.691	4.269
727869181	Raja montagui	13/03/1993	58.7667	-6.15	119						
727869140	Raja montagui	22/11/1993	57.3	-8.4667	150	9.75	35.39	10.833	5.939	0.697	4.848
727869142	Raja montagui	22/11/1993	57.3	-8.4667	150	9.75	35.39	10.833	5.939	0.697	4.848
727869193	Raja montagui	13/03/1993	58.7667	-6.15	119						
727869822	Scyliorhinus canicula	23/11/1993	56.2167	-7.1833	91	9.732	35.183	10.14	5.823	0.669	3.744
727869976	Scyliorhinus canicula	09/03/1993	55.45	-9.2167	140	10.09	35.412	10.361	5.922	0.691	4.269
727804272	Squalus acanthias	04/03/1989	58.4333	-6.0333	100						
727870815	Squalus acanthias	22/11/1993	57.3	-9.15	146	9.707	35.373	11.122	5.968	0.723	4.729
727870940	Squalus acanthias	10/03/1993	56.25	-8.3833	143	9.738	35.361	10.914	5.868	0.707	4.143
727876116	Galeus melastomus	19/03/1994	56.2333	-8.35	164	9.738	35.361	10.914	5.868	0.707	4.143
727813584	Raja brachyura	01/12/1990	56.2333	-7.7167	135	9.645	35.299	10.524	5.785	0.734	4.677
727815034	Raja montagui	20/03/1990	56.4167	-6.7333	83						
727815658	Scyliorhinus canicula	05/03/1990	58	-5.8	122						
727815863	Scyliorhinus canicula	10/03/1990	55.8167	-7.6833	140						
727816706	Squalus acanthias	11/03/1990	58.3833	-5.9667	115						
727816815	Squalus acanthias	13/12/1990	55.7333	-9.1	135	10.058	35.382	10.273	5.908	0.697	4.322
727883670	Scyliorhinus canicula	19/03/1994	56.2333	-8.35	164	9.738	35.361	10.914	5.868	0.707	4.143
727883844	Scyliorhinus canicula	03/12/1994	55.8167	-7.6333	120						
727889566	Scyliorhinus canicula	18/11/2002	55.122	-9.3735	150	10.09	35.412	10.361	5.922	0.691	4.269
727829525	Raja clavata	18/11/2002	55.122	-9.3735	150	10.09	35.412	10.361	5.922	0.691	4.269
727829611	Raja clavata	20/11/2002	55.3405	-8.4738	97	10.091	35.319	9.886	5.907	0.685	4.255
727897213	Raja montagui	26/03/2006	56.5607	-7.3217	150						
727832883	Raja montagui	28/11/2002	56.383	-6.8052	76						
727899167	Scyliorhinus canicula	01/11/1995	57.3	-9.15	150	9.707	35.373	11.122	5.968	0.723	4.729
727834601	Raja montagui	13/03/1986	58.7	-4.1167	102						
727900304	Scyliorhinus canicula	20/03/2004	55.82	-7.661	123						
727901221	Scyliorhinus canicula	05/04/1995	58.6	-5.6	112	9.5	35.177	9.112	5.993	0.651	3.645
727901760	Squalus acanthias	28/03/1995	56.6167	-8.4	148	9.738	35.361	10.914	5.868	0.707	4.143
727837441	Raja montagui	07/12/1991	49.4	-10.3167	122	11.011	35.499	8.196	5.82	0.555	3.198
727838226	Scyliorhinus canicula	28/02/1991	58.5277	-8.0002	158	9.55	35.363	11.325	6.018	0.737	4.935
727838664	Scyliorhinus canicula	12/12/1991	55.75	-9.1	124	10.058	35.382	10.273	5.908	0.697	4.322
727839240	Squalus acanthias	01/12/1991	56.35	-8.5333	135	9.827	35.35	10.437	5.857	0.712	4.627
727839236	Squalus acanthias	01/12/1991	56.35	-8.5333	135	9.827	35.35	10.437	5.857	0.712	4.627
727839243	Squalus acanthias	01/12/1991	56.35	-8.5333	135	9.827	35.35	10.437	5.857	0.712	4.627
727839431	Squalus acanthias	09/03/1991	58	-5.7833	118						
727839620	Squalus acanthias	12/12/1991	55.75	-9.1	124	10.058	35.382	10.273	5.908	0.697	4.322
727839772	Squalus acanthias	15/03/1991	58.8167	-3.7	84						
727908034	Scyliorhinus canicula	14/03/2006	58.8437	-6.7997	159						
727908152	Scyliorhinus canicula	21/11/2006	57.9362	-6.2082	89						
727908443	Scyliorhinus canicula	23/11/2006	57.8843	-9.4665	310	9.559	35.377	11.679	5.921	0.775	5.043
727908678	Scyliorhinus canicula	25/11/2006	55.6497	-8.909	107	10.091	35.319	9.886	5.907	0.685	4.255
727912307	Scyliorhinus canicula	26/03/2006	56.5607	-7.3217	150						
727912331	Scyliorhinus canicula	25/03/2006	56.192	-7.3748	102	9.732	35.183	10.14	5.823	0.669	3.744
727912597	Scyliorhinus canicula	05/12/2006	59.2563	-6.4333	162	9.144	35.339	12.103	6.136	0.773	5.105
727918587	Raja clavata	19/11/1996	57.3	-9.15	144	9.707	35.373	11.122	5.968	0.723	4.729
727918561	Raja clavata	15/03/1996	53.85	-4.8167	107						
727853554	Scyliorhinus canicula	08/03/1992	55.8167	-7.8	138						
727853613	Scyliorhinus canicula	08/03/1992	56.25	-8.3833	147	9.738	35.361	10.914	5.868	0.707	4.143
727853739	Scyliorhinus canicula	13/03/1992	58.7667	-6.1667	110						
727853862	Scyliorhinus canicula	03/12/1992	56.2167	-9.1	177	9.786	35.378	12.039	5.898	0.75	4.469
727919597	Scyliorhinus canicula	09/03/1996	57.6333	-8.5167	155	9.75	35.39	10.833	5.939	0.697	4.848
727919772	Scyliorhinus canicula	12/03/1996	56.5833	-7.4667	175						
727920094	Scyliorhinus canicula	18/03/1996	54.4833	-5.0833	140						
727920324	Scyliorhinus canicula	19/11/1996	57.7	-9.0833	155	9.707	35.373	11.122	5.968	0.723	4.729
727920309	Scyliorhinus canicula	20/03/1996	55.8333	-7.7667	140						
727921152	Squalus acanthias	10/11/1996	54.2833	-10.3167	125	10.116	35.395	10.567	5.918	0.727	3.4
727921262	Squalus acanthias	19/11/1996	57.3	-9.15	144	9.707	35.373	11.122	5.968	0.723	4.729
727921353	Squalus acanthias	24/03/1996	58.3833	-5.6167	110	9.5	35.177	9.112	5.993	0.651	3.645
727921325	Squalus acanthias	24/03/1996	58.3833	-5.6167	110	9.5	35.177	9.112	5.993	0.651	3.645
727860984	Scyliorhinus canicula	20/11/2007	56.2243	-9.0845	160	9.836	35.378	10.854	5.929	0.711	4.394
727861383	Scyliorhinus canicula	22/03/2007	55.4658	-9.2533	130	10.058	35.382	10.273	5.908	0.697	4.322
727861487	Scyliorhinus canicula	22/03/2007	55.1788	-10.0548	385	9.693	35.404	12.772	5.86	0.836	5.565
727862171	Scyliorhinus canicula	25/03/2007	56.1947	-7.351	99	9.732	35.183	10.14	5.823	0.669	3.744
727863387	Scyliorhinus canicula	26/03/2007	58.2767	-8.479	168	9.55	35.363	11.325	6.018	0.737	4.935
727930133	Squalus acanthias	21/11/2006	57.9362	-6.2082	89						
727931956	Scyliorhinus canicula	27/11/2004	55.9885	-7.2455	110						
727868290	Scyliorhinus canicula	29/11/2007	58.772	-6.1445	120						
727869678	Scyliorhinus canicula	23/11/1993	55.9565	-7.831	110						
727869955	Scyliorhinus canicula	24/11/1993	54.45	-8.7833	66						
727869926	Scyliorhinus canicula	09/03/1993	55.45	-9.2167	140	10.09	35.412	10.361	5.922	0.691	4.269
727869977	Scyliorhinus canicula	09/03/1993	55.45	-9.2167	140	10.09	35.412	10.361	5.922	0.691	4.269
727869969	Scyliorhinus canicula	09/03/1993	55.45	-9.2167	140	10.09	35.412	10.361	5.922	0.691	4.269
727870797	Squalus acanthias	22/11/1993	57.3	-9.15	146	9.707	35.373	11.122	5.968	0.723	4.729
727876098	Galeus melastomus	17/03/1994	56.4982	-7.5213	150						
727876129	Galeus melastomus	19/03/1994	56.2333	-8.35	164	9.738	35.361	10.914	5.868	0.707	4.143
727946406	Raja montagui	04/12/1997	52.7	-5.8167	70	10.036	34.621	6.121	5.952	0.511	5.452
727947153	Scyliorhinus canicula	01/12/1997	54.2833	-10.3167	115	10.116	35.395	10.567	5.918	0.727	3.4
727947723	Scyliorhinus canicula	14/12/1997	59.2333	-4.0333	114	8.875	35.279	11.318	6.101	0.776	4.871
727883479	Scyliorhinus canicula	17/03/1994	56.4982	-7.5213	150						
727883669	Scyliorhinus canicula	19/03/1994	56.2333	-8.35	164	9.738	35.361	10.914	5.868	0.707	4.143
727883678	Scyliorhinus canicula	19/03/1994	56.2333	-8.35	164	9.738	35.361	10.914	5.868	0.707	4.143
727948734	Squalus acanthias	11/12/1997	57.7167	-5.9667	150						
727952965	Scyliorhinus canicula	21/03/2004	56.4638	-7.4782	140						
727954539	Squalus acanthias	24/11/2004	54.0268	-5.2335	81						
727889575	Scyliorhinus canicula	18/11/2002	55.122	-9.3735	150	10.09	35.412	10.361	5.922	0.691	4.269
727954853	Scyliorhinus canicula	21/03/2004	56.4638	-7.4782	140						
727897191	Raja montagui	02/12/2006	55.9862	-7.2508	113						
727898485	Raja clavata	01/11/1995	57.7167	-9.0667	150	9.707	35.373	11.122	5.968	0.723	4.729
727963811	Scyliorhinus canicula	21/03/2004	56.7472	-6.9747	140						
727963683	Scyliorhinus canicula	30/11/2002	57.9237	-6.2075	90						
727899303	Scyliorhinus canicula	27/03/1995	55.45	-9.2167	120	10.058	35.382	10.273	5.908	0.697	4.322
727899301	Scyliorhinus canicula	27/03/1995	55.45	-9.2167	120	10.058	35.382	10.273	5.908	0.697	4.322
727899331	Scyliorhinus canicula	27/03/1995	55.45	-9.2167	120	10.058	35.382	10.273	5.908	0.697	4.322
727901047	Scyliorhinus canicula	28/03/1995	56.75	-9.0167	200	9.786	35.378	12.039	5.898	0.75	4.469
727967161	Scyliorhinus canicula	23/11/2004	54.0973	-4.0567	40						
727968935	Scyliorhinus canicula	23/11/2004	54.0973	-4.0567	40						
727906399	Dipturus batis	09/03/1996	58.0667	-9.0167	195	9.419	35.364	11.673	5.949	0.764	5.292
727972960	Scyliorhinus canicula	02/12/2004	59.6098	-5.1417	140	9.047	35.338	12.183	6.158	0.777	5.117
727908348	Scyliorhinus canicula	16/03/2006	57.3222	-8.4737	146	9.75	35.39	10.833	5.939	0.697	4.848
727908452	Scyliorhinus canicula	23/11/2006	57.8843	-9.4665	310	9.559	35.377	11.679	5.921	0.775	5.043
727908762	Scyliorhinus canicula	25/11/2006	55.6497	-8.909	107	10.091	35.319	9.886	5.907	0.685	4.255
727908732	Scyliorhinus canicula	19/03/2006	55.8275	-8.325	149						
727910617	Leucoraja naevus	19/11/1996	57.3	-9.15	144	9.707	35.373	11.122	5.968	0.723	4.729
727977148	Scyliorhinus canicula	15/03/2003	54.6178	-4.0692	49						
727912124	Scyliorhinus canicula	23/03/2006	54.6207	-4.0643	53						
727912446	Scyliorhinus canicula	26/03/2006	56.5607	-7.3217	150						
727912592	Scyliorhinus canicula	05/12/2006	59.2563	-6.4333	162	9.144	35.339	12.103	6.136	0.773	5.105
727978875	Squalus acanthias	14/11/2007	58.8645	-3.7527	90						
727918533	Raja clavata	10/11/1996	54.2833	-10.3167	125	10.116	35.395	10.567	5.918	0.727	3.4
727918276	Raja clavata	07/11/1996	56.6	-8.4	162	9.738	35.361	10.914	5.868	0.707	4.143
727918493	Raja clavata	09/03/1996	57.6333	-8.5167	155	9.75	35.39	10.833	5.939	0.697	4.848
727919679	Scyliorhinus canicula	10/11/1996	54.2833	-10.3167	125	10.116	35.395	10.567	5.918	0.727	3.4
727919978	Scyliorhinus canicula	15/03/1996	53.85	-4.8167	107						
727919989	Scyliorhinus canicula	15/03/1996	53.85	-4.8167	107						
727920093	Scyliorhinus canicula	18/03/1996	54.4833	-5.0833	140						
727921067	Squalus acanthias	07/11/1996	56.35	-8.5167	140	9.738	35.361	10.914	5.868	0.707	4.143
727987114	Raja montagui	18/11/1998	54.4667	-8.8167	67						
727988232	Scyliorhinus canicula	18/11/1998	55.3167	-8.4667	94	10.091	35.319	9.886	5.907	0.685	4.255
727988356	Scyliorhinus canicula	01/03/1998	56.75	-9.0167	258	9.811	35.396	11.589	5.873	0.772	4.605
727988422	Scyliorhinus canicula	02/03/1998	57.55	-8.5	162	9.75	35.39	10.833	5.939	0.697	4.848
727989713	Squalus acanthias	17/11/1998	54.5167	-9.6333	101						
727928886	Scyliorhinus canicula	26/11/2003	55.402	-9.277	120	10.058	35.382	10.273	5.908	0.697	4.322
727930181	Squalus acanthias	16/03/2006	57.3222	-8.4737	146	9.75	35.39	10.833	5.939	0.697	4.848
727932955	Leucoraja naevus	04/03/1997	55.45	-4.7833	60						
727998341	Scyliorhinus canicula	14/03/2004	54.026	-5.7507	40						
727934216	Scyliorhinus canicula	19/11/2004	55.8325	-9.0145	136	10.058	35.382	10.273	5.908	0.697	4.322
728001678	Squalus acanthias	19/11/2004	55.8325	-9.0145	136	10.058	35.382	10.273	5.908	0.697	4.322
728005225	Scyliorhinus canicula	20/11/2002	54.5823	-8.9063	88						
728007132	Scyliorhinus canicula	15/11/1999	57.7	-9.0833	156	9.707	35.373	11.122	5.968	0.723	4.729
728007206	Scyliorhinus canicula	16/11/1999	56.35	-8.5167	145	9.738	35.361	10.914	5.868	0.707	4.143
728007514	Scyliorhinus canicula	06/03/1999	55.8167	-7.7	127						
728009302	Squalus acanthias	18/03/1999	58.8	-3.8	98						
728009220	Squalus acanthias	02/12/1999	58.1333	-6.0333	120						
728009214	Squalus acanthias	02/12/1999	58.1333	-6.0333	120						
727947152	Scyliorhinus canicula	01/12/1997	54.2833	-10.3167	115	10.116	35.395	10.567	5.918	0.727	3.4
727947343	Scyliorhinus canicula	10/03/1997	55.8333	-7.75	142						
727947660	Scyliorhinus canicula	11/12/1997	57.7167	-5.9667	150						
727948626	Squalus acanthias	01/12/1997	54.2833	-10.3167	115	10.116	35.395	10.567	5.918	0.727	3.4
728016431	Galeorhinus galeus	20/11/2005	58.2975	-9.121	350	9.171	35.346	12.653	5.935	0.81	5.601
727952960	Scyliorhinus canicula	21/03/2004	56.4638	-7.4782	140						
727952961	Scyliorhinus canicula	21/03/2004	56.4638	-7.4782	140						
727954856	Scyliorhinus canicula	27/11/2004	55.8188	-7.6483	110						
727954849	Scyliorhinus canicula	27/11/2004	55.8188	-7.6483	110						
727954842	Scyliorhinus canicula	27/11/2004	55.8188	-7.6483	110						
727955051	Raja clavata	16/11/2004	57.7167	-9.0952	155	9.707	35.373	11.122	5.968	0.723	4.729
727959355	Scyliorhinus canicula	28/11/2003	56.7753	-8.5802	116	9.827	35.35	10.437	5.857	0.712	4.627
727959908	Scyliorhinus canicula	28/11/2002	56.5685	-7.315	145						
727963812	Scyliorhinus canicula	21/03/2004	56.7472	-6.9747	140						
727964400	Scyliorhinus canicula	21/03/2004	56.7472	-6.9747	140						
728032306	Scyliorhinus canicula	15/11/2000	58.5667	-7.3167	112	9.818	35.289	10.42	5.916	0.688	3.963
727966697	Scyliorhinus canicula	23/11/2004	54.0973	-4.0567	40						
728032727	Scyliorhinus canicula	22/11/2000	55.8167	-8.3	149						
728032766	Scyliorhinus canicula	22/11/2000	55.8167	-8.3	149						
728032746	Scyliorhinus canicula	22/11/2000	55.8167	-8.3	149						
727994798	Dipturus batis	15/11/1999	57.7	-9.0833	156	9.707	35.373	11.122	5.968	0.723	4.729
727995596	Raja clavata	17/11/2003	57.3063	-8.4653	150	9.75	35.39	10.833	5.939	0.697	4.848
728052748	Scyliorhinus canicula	01/03/2001	58.7858	-6.1443	122						
727997814	Raja clavata	24/11/2003	54.4837	-9.4245	90						
727979022	Squalus acanthias	02/12/2007	59.2505	-4.8597	120	8.875	35.279	11.318	6.101	0.776	4.871
727998483	Scyliorhinus canicula	19/03/2004	55.822	-8.2607	150						
727998497	Scyliorhinus canicula	19/03/2004	55.822	-8.2607	150						
727979203	Squalus acanthias	29/11/2007	58.772	-6.1445	120						
728006231	Raja montagui	02/03/1999	58.8	-3.7	99						
727832178	Raja montagui	22/11/2002	54.5172	-5.2392	135						
727832866	Raja montagui	28/11/2002	56.383	-6.8052	76						
728005592	Raja montagui	02/03/1999	58.8	-3.7	99						
728006599	Raja montagui	29/11/1999	54.5	-5.1667	140						
728007133	Scyliorhinus canicula	15/11/1999	57.7	-9.0833	156	9.707	35.373	11.122	5.968	0.723	4.729
727987707	Scyliorhinus canicula	12/11/1998	58.5833	-7.3167	107	9.818	35.289	10.42	5.916	0.688	3.963
727987704	Scyliorhinus canicula	12/11/1998	58.7667	-6.1167	122						
728007890	Scyliorhinus canicula	01/12/1999	57.0833	-6.95	135						
727988419	Scyliorhinus canicula	02/03/1998	57.55	-8.5	162	9.75	35.39	10.833	5.939	0.697	4.848
727988366	Scyliorhinus canicula	01/03/1998	56.75	-9.0167	258	9.811	35.396	11.589	5.873	0.772	4.605
727988645	Scyliorhinus canicula	25/11/1998	57.0833	-6.95	131						
727868417	Scyliorhinus canicula	02/12/2007	59.2413	-4.2832	100	9.02	35.216	9.449	6.1	0.691	4.053
727868414	Scyliorhinus canicula	02/12/2007	59.2413	-4.2832	100	9.02	35.216	9.449	6.1	0.691	4.053
727868409	Scyliorhinus canicula	02/12/2007	59.2413	-4.2832	100	9.02	35.216	9.449	6.1	0.691	4.053
727869196	Raja montagui	13/03/1993	58.7667	-6.15	119						
727869792	Scyliorhinus canicula	22/11/1993	57.3	-8.4667	150	9.75	35.39	10.833	5.939	0.697	4.848
727869873	Scyliorhinus canicula	23/11/1993	55.9565	-7.831	110						
727869850	Scyliorhinus canicula	23/11/1993	55.9565	-7.831	110						
727869940	Scyliorhinus canicula	09/03/1993	55.45	-9.2167	140	10.09	35.412	10.361	5.922	0.691	4.269
727870899	Squalus acanthias	24/11/1993	54.5667	-10.2	117	10.116	35.395	10.567	5.918	0.727	3.4
727870953	Squalus acanthias	10/03/1993	56.6	-8.4	160	9.738	35.361	10.914	5.868	0.707	4.143
727870954	Squalus acanthias	10/03/1993	56.6	-8.4	160	9.738	35.361	10.914	5.868	0.707	4.143
728018541	Galeus melastomus	17/11/2000	56.9167	-9.1167	460	9.474	35.38	12.345	5.706	0.821	5.144
728020479	Leucoraja naevus	22/11/2000	55.3167	-8.4667	97	10.091	35.319	9.886	5.907	0.685	4.255
727876102	Galeus melastomus	17/03/1994	56.4982	-7.5213	150						
728018542	Galeus melastomus	17/11/2000	56.9167	-9.1167	460	9.474	35.38	12.345	5.706	0.821	5.144
728019808	Scyliorhinus canicula	24/11/2009	58.7927	-6.2118	120						
728020511	Leucoraja naevus	29/11/2000	58.5333	-6.0833	85						
728020403	Scyliorhinus canicula	05/03/2010	55.997	-7.2383	120						
728021660	Scyliorhinus canicula	03/03/2011	56.8928	-9.0613	200	9.786	35.378	12.039	5.898	0.75	4.469
727883833	Scyliorhinus canicula	03/12/1994	55.8167	-7.6333	120						
